                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12706,                 0.2083,               0.037761,               0.057572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.12763,                0.15915,               0.021187,               0.059464,                 0.0982,                 0.0002,                 0.0002
                      1,                0.12645,                0.19891,               0.038641,               0.057028,              0.0010889,                0.09619,              0.0009328,             0.00028146,             0.00022831,               0.014286,             0.00012261,             1.2261e-05,                0.12739,                0.15506,               0.021347,               0.058868,               0.095495,             0.00049505,             0.00049505
                      2,                0.12612,                0.18355,               0.041084,               0.056495,               0.002601,                 0.2219,              0.0027916,             0.00063677,             0.00081797,               0.058571,             0.00051644,             8.8135e-05,                0.12344,                0.12581,               0.021244,               0.057419,               0.092784,             0.00078416,             0.00078416
                      3,                0.12348,                0.14523,               0.040799,               0.055888,              0.0038894,                 0.2981,              0.0046406,               0.001119,              0.0010235,                0.08381,             0.00078537,             0.00012484,                0.11722,                0.10485,               0.020744,                  0.056,               0.090067,              0.0010673,              0.0010673
                      4,                0.11741,                0.11658,               0.045072,               0.054083,              0.0063486,                0.49238,              0.0091663,              0.0026083,              0.0022126,                   0.18,              0.0023826,             0.00047843,                0.11006,                0.09278,               0.022099,                0.05426,               0.087345,              0.0013446,              0.0013446
                      5,                0.11053,                0.10209,               0.045444,               0.052894,                0.12542,               0.054286,               0.061551,               0.015373,              0.0070256,                0.32952,               0.010828,              0.0023388,                0.10464,               0.078748,                0.02243,               0.052597,               0.084616,              0.0016158,              0.0016158
                      6,                0.10087,               0.089314,               0.050886,               0.049911,               0.066971,                 0.1742,               0.058581,               0.019919,               0.004952,                0.37714,               0.011541,              0.0031131,                0.10013,               0.070488,               0.023369,               0.050873,               0.081881,              0.0018812,              0.0018812
                      7,               0.092839,               0.080683,                0.05326,               0.048542,                0.52263,                0.17714,                0.15718,               0.053453,                0.49909,                0.14857,                 0.1252,               0.039149,               0.095361,               0.071879,               0.022526,                0.04969,               0.079141,              0.0021406,              0.0021406
                      8,               0.084454,               0.074943,               0.053965,               0.047188,                0.56706,                0.26286,                0.18323,               0.056611,                0.50978,                0.13828,                0.12527,               0.035756,                0.09069,                0.06762,               0.026577,               0.048126,               0.076394,              0.0023941,              0.0023941
                      9,               0.080302,               0.072239,               0.051401,               0.044753,                0.54316,                0.21759,                0.19273,                0.06071,                0.26527,                0.19714,                0.05984,               0.019527,               0.088738,               0.064049,               0.043972,               0.047035,               0.073642,              0.0026416,              0.0026416
                     10,               0.076213,                0.06634,               0.049686,               0.043526,                0.67763,                0.17048,                0.22312,               0.095342,                0.54781,                0.14095,                0.14801,               0.049907,               0.091113,               0.064625,               0.065498,               0.046188,               0.070883,              0.0028832,              0.0028832
                     11,               0.072277,               0.063801,               0.047569,               0.042042,                0.58269,                0.39381,                  0.237,                 0.0849,                0.53782,                0.31666,                 0.2038,               0.057267,               0.081969,               0.057755,               0.049889,               0.043625,               0.068119,              0.0031189,              0.0031189
                     12,               0.071169,               0.061931,               0.050238,               0.041228,                0.60227,                 0.3219,                0.23043,               0.085355,                 0.5714,                0.26762,                0.19915,               0.069083,               0.085795,               0.053928,               0.041431,               0.040733,               0.065349,              0.0033486,              0.0033486
                     13,               0.067749,               0.058141,               0.048939,               0.040096,                0.59271,                0.33429,                0.26502,               0.088995,                0.59134,                   0.28,                0.24088,               0.075169,               0.079695,               0.050139,               0.035439,               0.039459,               0.062572,              0.0035723,              0.0035723
                     14,               0.066515,               0.056402,               0.044326,                0.03947,                0.56336,                0.39172,                0.27567,                0.12247,                0.56752,                0.30571,                0.26531,               0.099613,                0.08033,               0.047831,               0.028482,               0.037346,                0.05979,              0.0037902,              0.0037902
                     15,               0.066294,                0.05606,               0.046148,               0.037996,                  0.628,                0.36286,                0.34324,                0.11127,                0.61801,                0.33524,                0.31555,                 0.1203,               0.075474,               0.041699,               0.027288,                 0.0364,               0.057002,              0.0040021,              0.0040021
                     16,               0.065273,               0.051581,               0.045336,                0.03723,                0.57677,                0.38952,                0.23265,               0.095608,                0.59121,                 0.3491,                0.24902,                0.11809,               0.081374,               0.042474,               0.026361,               0.035225,               0.054208,               0.004208,               0.004208
                     17,               0.064658,               0.051946,                0.04586,               0.035954,                0.70615,                0.44571,                0.39873,                0.15328,                0.69519,                0.43143,                0.38191,                0.18042,               0.072785,               0.038719,               0.024052,               0.034409,               0.051408,               0.004408,               0.004408
                     18,               0.065149,               0.051009,               0.043876,               0.036249,                0.63462,                0.37524,                0.32409,                0.14264,                0.63876,                0.37416,                0.34794,                 0.1851,               0.074396,               0.038488,               0.024239,               0.032162,               0.048602,              0.0046021,              0.0046021
                     19,               0.063362,               0.049376,               0.042003,               0.035093,                0.77267,                0.35907,                0.43063,                0.19738,                0.76393,                0.38234,                 0.4323,                0.24329,               0.071495,               0.036508,               0.019228,               0.031654,                0.04579,              0.0047902,              0.0047902
                     20,               0.062849,               0.048122,               0.043231,               0.033583,                0.66963,                0.37933,                0.39572,                0.14733,                0.73035,                0.40571,                0.44934,                0.21415,               0.071839,               0.035017,               0.020197,               0.030468,               0.042972,              0.0049724,              0.0049724
                     21,               0.063745,               0.047877,               0.041692,               0.033107,                0.60587,                0.35841,                0.33826,                0.14085,                0.60448,                0.35353,                0.34314,                0.19894,               0.075639,               0.039711,               0.020922,               0.030853,               0.040149,              0.0051487,              0.0051487
                     22,               0.064122,                0.04876,               0.045563,               0.032705,                0.75635,                0.45098,                0.51387,                0.22413,                0.80492,                  0.426,                0.53345,                0.34848,               0.066624,               0.033389,               0.019403,               0.029121,               0.037319,               0.005319,               0.005319
                     23,               0.063257,               0.048202,                0.04627,                0.03174,                0.63602,                0.39227,                0.36212,                 0.1489,                0.64098,                0.38733,                0.37331,                0.20956,               0.070697,               0.031528,               0.022989,               0.028614,               0.034483,              0.0054833,              0.0054833
                     24,               0.060965,               0.045879,               0.044158,               0.031252,                 0.7614,                0.39036,                 0.4671,                0.20983,                  0.786,                0.43238,                0.48965,                0.27659,               0.068999,                0.03387,               0.020124,               0.028244,               0.031642,              0.0056418,              0.0056418
                     25,               0.063444,               0.045033,               0.041944,               0.030097,                0.70284,                 0.3522,                0.35946,                0.16558,                0.70006,                0.34905,                0.35629,                0.20712,               0.068133,               0.042563,               0.019428,               0.028633,               0.028794,              0.0057942,              0.0057942
                     26,               0.061148,               0.044152,               0.043383,               0.029223,                 0.4955,                0.44714,                0.35472,                0.14947,                0.71824,                0.29143,                0.33614,                0.18141,                0.07115,               0.043688,                0.01931,               0.028843,               0.025941,              0.0059408,              0.0059408
                     27,               0.061029,               0.044979,               0.045518,               0.029075,                0.51025,                0.57857,                 0.4341,                0.19086,                 0.4998,                0.49988,                0.46286,                0.28462,               0.064616,               0.034047,               0.019262,               0.025352,               0.023081,              0.0060814,              0.0060814
                     28,               0.061078,               0.041332,                0.03973,                0.02913,                0.74295,                0.36827,                0.47947,                0.26775,                0.74295,                0.36827,                0.48913,                0.32623,               0.065656,               0.033132,               0.017546,               0.024521,               0.020216,              0.0062161,              0.0062161
                     29,               0.059451,               0.042381,               0.040898,               0.027219,                0.57961,                0.58324,                0.49683,                0.23183,                0.75339,                0.46237,                0.52532,                0.35559,               0.067508,               0.034826,               0.017912,                0.02491,               0.017345,              0.0063448,              0.0063448
                     30,               0.061157,               0.042405,               0.041967,               0.026082,                0.64688,                0.51535,                0.41822,                0.21568,                0.64448,                0.50169,                0.42731,                0.27949,               0.063593,               0.036203,                0.01985,               0.026642,               0.014468,              0.0064676,              0.0064676
                     31,                0.05877,               0.041385,               0.040666,               0.024883,                0.64829,                0.51698,                0.45255,                0.21815,                0.56753,                0.54748,                0.44147,                0.30378,                0.06282,               0.039019,               0.018103,               0.023705,               0.011584,              0.0065844,              0.0065844
                     32,               0.057586,               0.041381,                0.04124,               0.025013,                0.72211,                0.43053,                0.45969,                0.22044,                 0.7529,                0.39948,                0.44165,                0.27384,               0.064452,               0.042849,               0.020205,               0.023876,              0.0086954,              0.0066954,              0.0066954
                     33,               0.058949,               0.043269,               0.040863,               0.024715,                0.46628,                0.51017,                0.38447,                0.20812,                0.69999,                   0.36,                 0.3806,                 0.2489,               0.061402,               0.042918,               0.020332,               0.026054,               0.006733,               0.006733,               0.006733
                     34,               0.057624,               0.042858,               0.042222,                0.02423,                 0.7387,                0.48748,                0.49904,                0.25847,                0.72957,                0.46953,                0.47982,                 0.3021,               0.056867,               0.038015,               0.022285,               0.022865,               0.006733,               0.006733,               0.006733
                     35,               0.056421,               0.040349,               0.040226,               0.023426,                0.74934,                0.51746,                0.53012,                0.28737,                0.74934,                0.51746,                0.53913,                0.35522,               0.058676,               0.038472,               0.019121,               0.022148,               0.006634,               0.006634,               0.006634
                     36,               0.055814,               0.040502,               0.040305,               0.022368,                0.85279,                0.32238,                0.36278,                 0.1732,                0.86916,                0.33666,                0.35473,                0.22473,               0.068883,               0.058586,               0.022362,               0.035347,               0.006535,               0.006535,               0.006535
                     37,               0.052522,               0.042289,               0.039853,               0.022193,                0.78121,                0.23746,                0.26237,                0.11283,                0.75664,                0.25387,                0.23614,                0.12996,               0.076899,               0.069932,               0.025845,               0.038109,               0.006436,               0.006436,               0.006436
                     38,               0.051154,               0.040314,               0.039821,               0.023145,                0.87175,                0.33143,                0.43123,                0.19236,                0.74045,                 0.4019,                0.41581,                0.24695,               0.066718,               0.050528,               0.022007,               0.031944,               0.006337,               0.006337,               0.006337
                     39,                0.05247,                0.03869,                0.03967,               0.021614,                0.70836,                 0.4444,                0.39251,                0.23446,                0.70836,                 0.4444,                 0.3859,                0.24957,               0.061129,               0.045726,               0.020523,               0.031052,               0.006238,               0.006238,               0.006238
                     40,               0.051175,               0.040248,               0.039886,               0.021572,                0.59899,                0.51667,                0.44089,                0.23735,                0.58886,                0.50238,                0.43871,                0.29406,               0.057945,               0.041782,               0.019266,               0.028271,               0.006139,               0.006139,               0.006139
                     41,               0.048901,               0.038692,                0.03927,               0.019979,                 0.5328,                0.46143,                0.38119,                0.21291,                0.54608,                0.47571,                0.41508,                 0.2649,               0.058901,               0.037498,               0.020754,                0.02388,                0.00604,                0.00604,                0.00604
                     42,                0.04983,               0.040204,               0.038392,               0.021128,                0.72168,                0.44546,                0.46881,                 0.2646,                0.66121,                0.48424,                0.47392,                0.29856,                0.05699,               0.040775,               0.019691,               0.026833,               0.005941,               0.005941,               0.005941
                     43,               0.050445,               0.038986,               0.038035,               0.020603,                0.52261,                0.55298,                0.44972,                0.22755,                0.52356,                0.51699,                0.44232,                0.28477,               0.058428,               0.043013,               0.020287,               0.027969,               0.005842,               0.005842,               0.005842
